"shortform","fullname","url"
"2M","Second Minister",""
"2PS","Second Permanent Secretary",""
"A&T","Adapt and Train",""
"AA","Approving Authority",""
"AAR","After ActionReview",""
"ABC","Active, Beautiful, Clean Waters",""
"ABC","AI, Blockchain, Chatbot",""
"ABCD","Analytics, Blockchain, Cloud, Data",""
"ACCSM","ASEAN Conference on Civil Service Matters",""
"ACD","Audit and Compliance Department",""
"ACDT","Australian Central Daylight Savings (UTC+10:30)",""
"ACE","Assistant Chief Executive",""
"ACE","Achieving Continuous Excellence",""
"ACL","Access Control List",""
"ACRA","Accounting and Corporate Regulatory Authority",""
"ACST","Australian Central Standard Time (UTC+09:30)",""
"ACT","Application Compatibility Testing",""
"ACT","Align, Communicate & Take Ownership",""
"ACTEP","Advanced Certificate in Technical Education Pedagogy",""
"AD","Active Directory",""
"ADDD","Application Design, Development & Deployment",""
"ADP","Agency Digitalisation Plans",""
"ADRO","Assistant Digital Records Officer",""
"ADT","Atlantic Daylight Time (UTC-03:00)",""
"ADWI","Adaptive Digital Workplace Infrastructure",""
"AEDT","Australian Eastern Summer Time (UTC+11:00)",""
"AEP","Annual Engagement Plan",""
"AES","Advanced Encryption Standard",""
"AEST","Australian Eastern Standard Time (UTC+10:00)",""
"AFI","Area For Improvement",""
"AFM","Agency Facility Management",""
"AFT","Afghanistan Time (UTC+04:30)",""
"AGC","Attorney-General's Chambers",""
"AGD","Accountant-General's Department",""
"AGO","Auditor-General's Office",""
"AGV","Automated Guided Vehicle",""
"AI","Application Infrastructure",""
"AI","Artificial Intelligence",""
"AIAS","Application Infrastructure Architecture Standards",""
"AIAS","Application Infrastructure Architecture Standard",""
"AIISA","Agency ICT Infrastructure Security Assessment",""
"AIM Model","Analytical and Intellectual Capacity Influence and Collaboration Motivation for Excellence",""
"AIP","Approval In Principal",""
"AIaaB","AI as a Business",""
"AKA","Also Known As",""
"AKST","Alaska Standard Time (UTC-09:00)",""
"ALP","Applied Learning Programme",""
"AMAP","Active Mobility Advisory Panel",""
"AMP","Active Mobility Patrol",""
"AMR","Autonomous Mobile Robots",""
"AMS","Asset Management System",""
"AMST","Amazon Summer Time (UTC-03:00)",""
"AMT","Armenia Time (UTC+04:00)",""
"AMT","Amazon Time (UTC-04:00)",""
"ANCP","Application Network Connectivity Plan",""
"ANPR","Automatic Number Plate Recognition",""
"AO","Approving Officer",""
"AO","Administrative Officer",""
"AOB","Any Other Business",""
"AOI","Areas Of Improvement",""
"AOR","Approval Of Requirement",""
"APA","Annual Performance Appraisal",""
"APEX","API Gateway",""
"API","Application Programming Interface",""
"APIX","API eXchange",""
"APPLES","Application for Passport On-line Electronic System",""
"APPS","Automated Precast Production System",""
"APV","Approved Procurement Value",""
"AR","Ad-hoc Request",""
"AR","Augmented Reality",""
"ARC","Audit Risk Committee",""
"ARR","Accounting Rate of Return",""
"ART","Argentina Time (UTC-03:00)",""
"ASA","Annual Security Assessment",""
"ASAP","As Soon As Possible",""
"ASAS","Advertising Standards Authority of Singapore",""
"ASM","Application Services Manager",""
"ASO","Administrative Support Officer",""
"ASPIRE","Applied Study in Polytechnics and ITE Review",""
"AST","Atlantic Standard Time (UTC-04:00)",""
"AST","Arabia Standard Time (UTC+03:00)",""
"ASTAR","Agency for Science, Technology and Research",""
"ASTAR","Agency For Science, Technology And Research",""
